source_ip,destination_ip,source_port,destination_port,protocol,packet_size,duration,failed_login_attempts,login_success,country,timestamp,attack_type,label
158.172.238.202,192.168.40.147,47841,8080,ICMP,4826,0.0195,0,0,Russia,29-01-2025 00:21,DDoS,1
195.243.60.194,172.16.99.2,5426,21,HTTP,34855,742.26,0,1,Russia,22-01-2025 10:29,Data Exfiltration,1
207.190.61.164,192.168.73.94,9888,21,FTP,15359,1258.09,0,1,United States,03-01-2025 20:23,Data Exfiltration,1
11.180.189.153,192.168.246.222,9367,8080,ICMP,5732,0.0321,0,0,Brazil,10-01-2025 23:41,DDoS,1
163.78.32.201,192.168.135.197,9760,80,HTTP,368,13.511,5,1,South Korea,16-01-2025 03:59,Phishing,1
120.190.41.208,192.168.169.133,30906,22,TCP,286,1.523,183,0,Brazil,30-01-2025 22:12,Brute Force,1
222.187.84.23,172.16.209.100,16282,21,FTP,87,2.895,475,0,Japan,08-01-2025 05:34,Brute Force,1
86.226.137.59,172.16.112.247,62164,443,HTTPS,800,9.761,3,1,India,02-01-2025 23:31,Phishing,1
42.70.100.153,172.16.227.24,42279,23025,UDP,44,0.0435,0,0,Russia,28-01-2025 00:36,Port Scan,1
54.148.188.216,10.0.27.165,18351,22,SSH,149,1.66,263,0,Nigeria,09-01-2025 02:53,Brute Force,1
125.163.82.103,172.16.7.2,46843,22,FTP,361,2.097,404,0,United States,23-01-2025 03:51,Brute Force,1
94.176.21.145,192.168.51.123,19000,8080,TCP,8444,0.0521,0,0,Brazil,20-01-2025 00:27,DDoS,1
158.16.49.27,10.0.228.200,12577,6699,UDP,81,0.0434,0,0,Iran,12-01-2025 08:35,Port Scan,1
67.28.67.151,192.168.2.8,5765,25,TCP,647,4.647,0,1,Nigeria,15-01-2025 05:00,Normal,0
221.218.194.22,10.0.129.216,31279,25,FTP,250,2.211,168,0,China,18-01-2025 05:03,Brute Force,1
24.38.70.54,10.0.207.165,54702,3306,HTTP,1279,1.702,1,1,Iran,24-01-2025 12:58,Normal,0
