source_ip,destination_ip,source_port,destination_port,protocol,packet_size,duration,failed_login_attempts,login_success,country,timestamp,attack_type,label
155.223.54.2,192.168.3.39,52711,443,HTTPS,773,1.304,0,1,Germany,24-01-2025 12:55,Normal,0
101.85.85.121,10.0.139.111,30876,53,TCP,798,4.146,0,1,Brazil,19-01-2025 21:08,Normal,0
218.206.103.218,172.16.27.228,52763,53,HTTPS,980,1.116,0,1,United Kingdom,23-01-2025 16:56,Normal,0
251.116.173.7,192.168.37.214,32083,80,TCP,458,4.72,0,1,Germany,06-01-2025 10:54,Normal,0
1.147.191.71,192.168.197.117,7583,443,TCP,1483,0.000291,0,0,China,21-01-2025 02:25,DDoS,1
198.228.90.191,172.16.39.244,6720,21,FTP,460688,583.28,0,1,United States,23-01-2025 16:50,Data Exfiltration,1
61.230.126.163,172.16.85.103,59610,22,TCP,852,3.966,0,1,India,17-01-2025 19:22,Normal,0
164.56.104.247,192.168.80.233,63863,53,TCP,529,1.15,0,1,United States,15-01-2025 23:24,Normal,0
102.216.69.162,10.0.235.212,56574,22,HTTP,753,4.175,0,1,Russia,08-01-2025 05:54,Normal,0
229.119.45.232,10.0.20.64,20955,21,FTP,429595,704.23,0,1,Germany,24-01-2025 15:42,Data Exfiltration,1
215.80.36.42,172.16.50.236,57793,53,HTTP,326,0.807,0,1,Russia,16-01-2025 00:40,Normal,0
83.193.222.233,192.168.236.70,65355,53,HTTP,974,4.654,0,1,China,01-01-2025 11:33,Normal,0
24.209.225.2,192.168.253.209,6075,3810,TCP,40,0.0001,0,0,India,03-01-2025 08:38,Port Scan,1
121.245.110.3,192.168.170.12,63242,443,HTTP,465,4.213,0,1,China,27-01-2025 01:54,Normal,0
216.34.70.51,172.16.42.225,12050,53,DNS,465,3.155,0,1,United States,01-01-2025 08:59,Normal,0
113.49.192.45,10.0.72.193,2637,4444,TCP,823,17898.8,0,1,United States,05-01-2025 05:08,Malware,1
72.57.63.34,192.168.124.60,6304,80,TCP,1483,0.000989,0,0,Russia,26-01-2025 03:23,DDoS,1
127.249.162.213,172.16.217.219,6147,22,TCP,851,3.428,0,1,China,20-01-2025 19:25,Normal,0
203.249.104.54,10.0.141.169,8504,22,SSH,73,0.337,418,0,South Korea,02-01-2025 07:18,Brute Force,1
209.143.227.53,172.16.2.35,51658,22,SSH,90,0.493,109,0,China,18-01-2025 07:15,Brute Force,1
175.98.21.61,172.16.140.2,28106,22,SSH,81,0.282,217,0,Brazil,26-01-2025 05:41,Brute Force,1
172.193.126.139,172.16.159.183,31766,443,HTTP,521,2.549,0,1,Russia,25-01-2025 21:49,Normal,0
7.126.6.47,10.0.224.247,48272,22,TCP,410,2.763,0,1,Canada,15-01-2025 02:52,Normal,0
219.101.127.103,192.168.88.198,60229,22,SSH,58,0.12,139,0,Ukraine,24-01-2025 03:41,Brute Force,1
197.31.225.199,192.168.36.76,41732,443,TCP,450,1.317,0,1,Brazil,27-01-2025 21:11,Normal,0
104.116.167.122,172.16.184.104,7649,80,TCP,1471,0.000441,0,0,United States,23-01-2025 05:38,DDoS,1
133.19.61.151,172.16.249.121,30401,80,TCP,1469,0.000484,0,0,United States,15-01-2025 02:08,DDoS,1
145.124.140.233,192.168.184.125,17150,80,HTTP,893,4.116,0,1,China,12-01-2025 16:44,Normal,0
152.4.91.97,172.16.8.220,60466,22,HTTPS,885,3.507,0,1,Brazil,06-01-2025 00:18,Normal,0
108.3.250.43,192.168.115.177,40811,53,DNS,551,1.186,0,1,Germany,29-01-2025 17:58,Normal,0
133.251.105.232,172.16.73.101,22053,21,FTP,248553,536.3,0,1,United States,26-01-2025 14:38,Data Exfiltration,1
226.44.2.128,172.16.148.50,12085,4444,TCP,549,10215.09,0,1,United Kingdom,22-01-2025 10:50,Malware,1
167.138.127.22,10.0.130.108,36707,80,HTTPS,699,2.922,0,1,Nigeria,30-01-2025 01:23,Normal,0
138.163.76.89,10.0.120.37,10104,443,HTTPS,1037,35.871,8,0,France,09-01-2025 17:46,Phishing,1
250.216.68.148,172.16.56.38,29512,80,TCP,1490,0.00065,0,0,Russia,11-01-2025 20:28,DDoS,1
128.86.187.149,10.0.20.107,45493,80,TCP,1464,0.000559,0,0,South Korea,28-01-2025 19:32,DDoS,1
219.149.164.126,192.168.34.82,10344,80,TCP,1452,0.000215,0,0,Brazil,10-01-2025 13:44,DDoS,1
171.106.238.151,192.168.22.161,37556,80,DNS,733,3.423,0,1,China,17-01-2025 03:08,Normal,0
115.19.160.153,172.16.179.64,11147,443,HTTPS,714,78.662,7,0,United Kingdom,14-01-2025 22:30,Phishing,1
116.148.118.220,10.0.211.25,28068,80,TCP,571,3.711,0,1,France,10-01-2025 06:43,Normal,0
243.20.146.128,172.16.169.91,60693,443,HTTPS,1070,45.336,8,0,Germany,02-01-2025 00:32,Phishing,1
89.111.209.18,192.168.221.253,14007,7470,TCP,40,0.0001,0,0,France,23-01-2025 13:53,Port Scan,1
177.206.200.254,10.0.229.204,1088,80,TCP,429,3.302,0,1,Japan,14-01-2025 11:25,Normal,0
254.187.165.107,192.168.51.239,64062,21,FTP,359465,659.7,0,1,Russia,24-01-2025 16:46,Data Exfiltration,1
4.91.248.134,192.168.200.14,31339,443,TCP,1500,0.00062,0,0,United States,18-01-2025 20:02,DDoS,1
179.82.118.74,172.16.49.4,63042,4444,TCP,729,11013.97,0,1,Brazil,25-01-2025 15:09,Malware,1
50.245.101.140,172.16.151.82,26059,4444,TCP,810,16684.84,0,1,United States,23-01-2025 07:38,Malware,1
150.48.60.81,172.16.60.209,27847,443,HTTPS,732,1.753,0,1,Nigeria,16-01-2025 11:34,Normal,0
174.229.183.138,172.16.0.119,20123,4444,TCP,623,18084.23,0,1,Brazil,30-01-2025 05:38,Malware,1
174.45.73.92,192.168.0.104,31351,443,HTTPS,605,1.408,0,1,Iran,26-01-2025 22:45,Normal,0
225.83.251.157,10.0.113.2,49728,443,TCP,1497,0.000498,0,0,United Kingdom,02-01-2025 17:05,DDoS,1
249.177.63.183,10.0.38.41,19997,4444,TCP,944,11341.69,0,1,United States,06-01-2025 05:09,Malware,1
52.172.71.157,192.168.234.6,58826,22,TCP,442,3.713,0,1,United States,25-01-2025 07:03,Normal,0
174.5.137.191,192.168.142.78,56896,22,HTTPS,491,1.549,0,1,China,02-01-2025 23:56,Normal,0
121.86.111.194,10.0.30.124,6607,80,HTTPS,914,1.321,0,1,India,26-01-2025 14:59,Normal,0
220.142.225.59,192.168.144.41,58729,80,TCP,1498,0.000598,0,0,Germany,11-01-2025 07:00,DDoS,1
153.167.246.152,10.0.148.74,65090,443,HTTP,896,3.453,0,1,United States,20-01-2025 11:23,Normal,0
139.221.205.241,172.16.134.72,22115,62356,TCP,40,0.0001,0,0,Russia,21-01-2025 02:49,Port Scan,1
215.163.187.102,192.168.222.19,3437,443,HTTPS,1086,46.099,9,0,Brazil,28-01-2025 00:02,Phishing,1
163.215.88.253,172.16.182.68,31647,22,HTTP,899,0.57,0,1,China,07-01-2025 05:58,Normal,0
210.133.225.210,10.0.145.38,32157,443,TCP,1471,0.000391,0,0,United States,15-01-2025 19:39,DDoS,1
45.154.200.165,10.0.211.103,62704,443,TCP,1487,0.000141,0,0,United States,20-01-2025 22:12,DDoS,1
96.241.42.59,172.16.55.123,51890,443,HTTPS,668,1.597,0,1,United Kingdom,17-01-2025 14:58,Normal,0
135.209.196.85,192.168.30.171,27521,39843,TCP,40,0.0001,0,0,Russia,24-01-2025 21:43,Port Scan,1
